mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016147327423095704,0.0029397939147584383,0.4118922710418701,0.02984234521313592,9,distance,"{'clf__n_neighbors': 9, 'clf__weights': 'distance'}",0.8835987085886194,0.8656744139120224,0.8506121134020619,0.8550717967599412,0.8519467967599411,0.8613807658845172,0.0123031632723708,9
0.01615033149719238,0.000971639513719257,0.2479471206665039,0.15035281816440163,17,uniform,"{'clf__n_neighbors': 17, 'clf__weights': 'uniform'}",0.8934883699600102,0.8873821403676119,0.8741577687776141,0.8717783505154639,0.8789327135493372,0.8811478686340074,0.008157332834336256,3
0.015573215484619141,0.000857061852689144,0.08401670455932617,0.019091453755768744,10,uniform,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}",0.891596654070514,0.875855284880948,0.8576261045655376,0.8611745213549337,0.870600147275405,0.8713705424294677,0.012022233017317216,7
0.016152000427246092,0.0027259709310652703,0.07916345596313476,0.022579007257842027,23,uniform,"{'clf__n_neighbors': 23, 'clf__weights': 'uniform'}",0.9006860622959242,0.8875357706277287,0.8801431332842415,0.8761782032400589,0.8842921575846834,0.8857670654065274,0.00838397315825715,1
0.020301008224487306,0.006449272419283769,0.07594485282897949,0.007233946351223819,21,uniform,"{'clf__n_neighbors': 21, 'clf__weights': 'uniform'}",0.8977189345856111,0.8855202333345562,0.8787969440353461,0.8734513070692195,0.8831507731958763,0.8837276384441217,0.008114397963548901,2
0.01573801040649414,0.0008619919321801899,0.08628120422363281,0.03555186862259403,13,uniform,"{'clf__n_neighbors': 13, 'clf__weights': 'uniform'}",0.896666452654364,0.8840160325787871,0.866306148748159,0.8656664212076584,0.8804169734904271,0.8786144057358791,0.011639988955542382,4
0.01415567398071289,0.0011466490006337192,0.07598867416381835,0.01767111891488319,23,distance,"{'clf__n_neighbors': 23, 'clf__weights': 'distance'}",0.899046575191694,0.8804848295850608,0.8700271539027982,0.8704597754050074,0.8657791789396172,0.8771595026048356,0.01196135657216624,5
0.01606121063232422,0.0020471762368222545,0.07925291061401367,0.01598365115464081,10,distance,"{'clf__n_neighbors': 10, 'clf__weights': 'distance'}",0.8865429064093627,0.8671763216788347,0.8521516016200296,0.8567976804123711,0.8522574558173786,0.8629851931875953,0.012986668394548723,8
0.013391780853271484,0.0012859344570829833,0.05788698196411133,0.006241523402212611,5,distance,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.8685612870088417,0.8495638735003854,0.8262702503681884,0.844976527982327,0.8248020986745213,0.8428348075068527,0.016194333480192176,10
0.020257949829101562,0.011630951038534457,0.05552034378051758,0.0026114229147860884,23,distance,"{'clf__n_neighbors': 23, 'clf__weights': 'distance'}",0.899046575191694,0.8804848295850608,0.8700271539027982,0.8704597754050074,0.8657791789396172,0.8771595026048356,0.01196135657216624,5
