mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01635708808898926,0.0009094603577380202,0.35359716415405273,0.01381873229686665,9,distance,"{'clf__n_neighbors': 9, 'clf__weights': 'distance'}",0.8835987085886194,0.8656744139120224,0.8506121134020619,0.8550717967599412,0.8519467967599411,0.8613807658845172,0.0123031632723708,9
0.01503911018371582,0.001689041409959818,0.20690150260925294,0.1264475538933748,17,uniform,"{'clf__n_neighbors': 17, 'clf__weights': 'uniform'}",0.8934883699600102,0.8873821403676119,0.8741577687776141,0.8717783505154639,0.8789327135493372,0.8811478686340074,0.008157332834336256,3
0.029212808609008788,0.027995740395999686,0.0816953182220459,0.028770571222516028,10,uniform,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}",0.891596654070514,0.875855284880948,0.8576261045655376,0.8611745213549337,0.870600147275405,0.8713705424294677,0.012022233017317216,7
0.014879703521728516,0.0033786962024255937,0.10933332443237305,0.047430253850865654,23,uniform,"{'clf__n_neighbors': 23, 'clf__weights': 'uniform'}",0.9006860622959242,0.8875357706277287,0.8801431332842415,0.8761782032400589,0.8842921575846834,0.8857670654065274,0.00838397315825715,1
0.02154817581176758,0.016048454446761316,0.0901648998260498,0.031175234617786457,21,uniform,"{'clf__n_neighbors': 21, 'clf__weights': 'uniform'}",0.8977189345856111,0.8855202333345562,0.8787969440353461,0.8734513070692195,0.8831507731958763,0.8837276384441217,0.008114397963548901,2
0.014249372482299804,0.0014715167460907736,0.08582701683044433,0.04196884082096425,13,uniform,"{'clf__n_neighbors': 13, 'clf__weights': 'uniform'}",0.896666452654364,0.8840160325787871,0.866306148748159,0.8656664212076584,0.8804169734904271,0.8786144057358791,0.011639988955542382,4
0.021374893188476563,0.012902467436660021,0.07801961898803711,0.05111329613135819,23,distance,"{'clf__n_neighbors': 23, 'clf__weights': 'distance'}",0.899046575191694,0.8804848295850608,0.8700271539027982,0.8704597754050074,0.8657791789396172,0.8771595026048356,0.01196135657216624,5
0.014367055892944337,0.0014779813934886925,0.07552027702331543,0.022438314582360997,10,distance,"{'clf__n_neighbors': 10, 'clf__weights': 'distance'}",0.8865429064093627,0.8671763216788347,0.8521516016200296,0.8567976804123711,0.8522574558173786,0.8629851931875953,0.012986668394548723,8
0.02266664505004883,0.017517444778804497,0.053362798690795896,0.010448559335184958,5,distance,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.8685612870088417,0.8495638735003854,0.8262702503681884,0.844976527982327,0.8248020986745213,0.8428348075068527,0.016194333480192176,10
0.01567363739013672,0.0024655878701706495,0.06790976524353028,0.004931125972805026,23,distance,"{'clf__n_neighbors': 23, 'clf__weights': 'distance'}",0.899046575191694,0.8804848295850608,0.8700271539027982,0.8704597754050074,0.8657791789396172,0.8771595026048356,0.01196135657216624,5
